company_name,location,investor_type,description,domain,industries
TRIVE,"Singapore, Central Region, Singapore",Micro VC,TRIVE is a venture capital firm that invest in technology startups.,trive.vc,"Analytics, Artificial Intelligence, Business Intelligence, Internet, Machine Learning, Venture Capital"
Get2Volume,"Singapore, Central Region, Singapore",Venture Capital,"Capabilities, capital and connections for Midwest and Singapore B2B technology companies",get2volume.com,"Financial Services, FinTech, Venture Capital"
Azione Capital Pte Ltd,"Singapore, Central Region, Singapore",Venture Capital,Azione Capital Pte Ltd is a seed stage venture capital investment company with its startup business incubator physically headquartered in,azionecapital.com,"Financial Services, FinTech, Venture Capital"
OCBC Bank of Singapore,"Singapore, Central Region, Singapore",Private Equity Firm,"OCBC Bank of Singapore provides its clients with various financial services, ranging from transaction banking to stockbroking services.",ocbc.com,"Banking, Financial Services"
IncuVest,"Singapore, Central Region, Singapore","Angel Group, Venture Capital",IncuVest is a Singapore-based early and growth-stage tech investment platform,incuvestasia.com,"Advanced Materials, Artificial Intelligence, Augmented Reality, Internet of Things, Machine Learning, Medical Device, Semiconductor, Venture Capital"
Pix Vine Capital,"Singapore, Central Region, Singapore",Corporate Venture Capital,"Pix Vine Capital is a Singaporean early-stage venture capital firm that seeks to invest in infotech, medtech, and fintech.",pixvc.com,"Angel Investment, Finance, Financial Services, Impact Investing, Venture Capital"
Expara Thailand,"Singapore, Central Region, Singapore",Venture Capital,Expara Thailand is a venture capital providing both investment and services to the enterprise ecosystem.,expara.com,"Financial Services, FinTech, Government, Venture Capital"
Iterative,"Singapore, Central Region, Singapore","Accelerator, Venture Capital",Iterative is an accelerator focused exclusively on Southeast Asia.,iterative.vc,
500 Durians,"Singapore, Central Region, Singapore",Venture Capital,"500 Durians is a venture capital firm that helps entrepreneur create successful companies at scale, and build thriving global ecosystems. ",durians.500.co,"Finance, Financial Services, FinTech, Venture Capital"
Govin Capital Pte Ltd,"Singapore, Central Region, Singapore",Venture Capital,Govin capital is an venture company that aims to add value to innovative Startups by mking investments with access to mentors & markets,govincapital.com,"Artificial Intelligence, Biotechnology, Education, Health Care, Health Diagnostics, Health Insurance, Information Technology, Medical, Venture Capital"
"Rakuten Accelerator, Powered by Techstars","Singapore, Central Region, Singapore",Accelerator,"Rakuten Accelerator, Powered by Techstars is a mentorship-driven accelerator.",techstars.com,"Business Development, Financial Services, Messaging, Social Network"
HH Investments VC,"Singapore, Central Region, Singapore","Family Investment Office, Venture Capital",Venture Capital firm with focus on early stage technology ventures that solve meaningful problems.,,
Tembusu Partners,"Singapore, Central Region, Singapore",Private Equity Firm,Tembusu Partners is a Singapore-based private equity firm focused on investments in growth stage companies.,tembusupartners.com,"Finance, Financial Services, Impact Investing"
LVP,"London, England, United Kingdom",Micro VC,London Venture Partners is a seed fund that focuses on the game ecosystem.,londonvp.com,"Augmented Reality, Gaming, Information Technology, Venture Capital, Virtual Reality"
Bridges Fund Management,"London, England, United Kingdom",Private Equity Firm,Bridges Fund Management is a specialist fund manager dedicated to sustainable and impact investment.,bridgesfundmanagement.com,"Finance, Financial Services, Venture Capital"
European Bank for Reconstruction and Development,"London, England, United Kingdom","Government Office, Investment Bank",European Bank for Reconstruction and Development is an investing firm.,ebrd.com,"Banking, Finance, Venture Capital"
PROfounders Capital,"London, England, United Kingdom",Micro VC,PROfounders Capital is an early-stage VC backed by successful entrepreneurs and focused on investing in technology start-ups across Europe.,profounderscapital.com,"Finance, Venture Capital"
European Union,"London, England, United Kingdom",Government Office,"European Union provides access to information published by all EU institutions, agencies and bodies.",europa.eu,"Education, Government, Information Services"
Vitruvian Partners,"London, England, United Kingdom",Private Equity Firm,"Vitruvian Partners is an equity firm that specializes in middle-market buyouts, growth buyouts, and growth capital investments.",vitruvianpartners.com,"Finance, Financial Services, Venture Capital"
Firstminute Capital,"London, England, United Kingdom",Micro VC,"An early-stage venture fund based in London, investing globally. Backed by 30 unicorn founders and global strategics.",firstminute.capital,"Finance, Financial Services, Venture Capital"
Generation Investment Management,"London, England, United Kingdom",Private Equity Firm,Generation Investment Management is a private equity firm focused on integrated sustainability research and client alignment.,generationim.com,"Finance, Financial Services, FinTech, Social, Sustainability, Venture Capital"
Calculus Capital,"London, England, United Kingdom",Private Equity Firm,Calculus Capital creates and manages tax efficient private equity funds for individuals.,calculuscapital.com,"Finance, Financial Services, Venture Capital"
Virgin Group,"London, England, United Kingdom",Private Equity Firm,"Virgin Group is an investment company focused on leisure, travel, tourism, mobile, broadband, TV, radio, music, finance, and health sectors.",virgin.com,"Financial Services, Venture Capital"
Imperial Create Lab,"London, England, United Kingdom","Incubator, University Program","Imperial Create Lab brings together the innovators, makers and game-changers to hack, learn and build things that matter.",imperialcollegeunion.org,"Communities, Incubators, Innovation Management"
BOOST&Co,"London, England, United Kingdom",Venture Debt,BOOST&Co provides debt solutions to innovative SMEs in Europe.,boostandco.com,"Finance, Financial Services, Venture Capital"
Zouk Capital,"London, England, United Kingdom",Private Equity Firm,Zouk Capital is an independent London-based private equity fund manager investing in companies that advance resource efficiency.,zouk.com,"Finance, Financial Services, Venture Capital"
Hg,"London, England, United Kingdom",Private Equity Firm,"Hg aim is to partner with great businesses across the technology and, services space.",hgcapital.com,"Finance, Financial Services, Venture Capital"
GSMA Ecosystem Accelerator,"London, England, United Kingdom",Entrepreneurship Program,GSMA Ecosystem Accelerator builds synergies between start-ups and mobile operators to scale mobile services in emerging markets.,gsma.com,"Information Services, Innovation Management, Mobile"
Janus Henderson Investors,"London, England, United Kingdom",Private Equity Firm,Janus Henderson Investors is an asset manager that helps clients achieve their financial goals.,janushenderson.com,"Asset Management, Finance, Financial Services"
Nesta Impact Investments,"London, England, United Kingdom",Micro VC,"Nesta Impact Investments are investing in start-up and early stage technology, education and media companies.",nestainvestments.org.uk,"Finance, Financial Services"
Helios Investment Partners,"London, England, United Kingdom",Private Equity Firm,Helios Investment Partners LLP is a private equity and venture capital firm.,heliosinvestment.com,"Finance, Financial Services, Venture Capital"
Alpina Partners,"London, England, United Kingdom",Private Equity Firm,Alpina Partners is an independent private equity firm which invests in European technology companies.,alpinapartners.com,"Finance, Financial Services, Venture Capital"
50 Partners,"Paris, Ile-de-France, France",Accelerator,"50 Partners is a French accelerator providing IT startups with mentoring, financing, and office space in central Paris.",50partners.fr,"Finance, Incubators, Venture Capital"
Societe Generale Asset Management,"Paris, Ile-de-France, France","Investment Bank, Private Equity Firm","Societe Generale Asset Management, a French multinational banking and financial services firm, offers investment solutions for its clients.",sgam-ai.com,Financial Services
BOOST Programs,"Paris, Ile-de-France, France",Accelerator,Acceleration program for business focused startups.,boost.atelier.bnpparibas,
KREAXI,"Limonest, Rhone-Alpes, France",Micro VC,KREAXI is a financial partner for companies starting in Rhone-Alpes which helps to overcome capital investment shortcomings.,kreaxi.com,Venture Capital
Amundi Private Equity Funds,"Paris, Ile-de-France, France",Private Equity Firm,"Amundi Private Equity Funds, an Amundi asset management subsidiary, specialises in private equity and unlisted infrastructure investments.",amundi.com,"Finance, Financial Services, Venture Capital"
Truffle Capital,"Paris, Ile-de-France, France",Private Equity Firm,Truffle Capital is an independent European private equity firm originally set up for investing in technology spin-offs.,truffle.com,"Finance, Financial Services, Venture Capital"
eFounders,"Paris, Ile-de-France, France",Incubator,We build the future of work,efounders.com,"B2B, Enterprise Software, SaaS"
IDIA Capital Investissement,"Paris, Ile-de-France, France",Private Equity Firm,IDIA Capital Investissement is a private equity arm of Cr√©dit Agricole Capital Investissement.,tiredeets.com,Venture Capital
Krinova,"Kristianstad, Skane Lan, Sweden",Incubator,"Krinova, an incubator and science park, offers meeting spaces, arranges tailor-made conferences, and promotes innovations and development.",krinova.se,Incubators
Mimir Capital,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,Mimir Capital is a private investment firm providing customized solutions,mimirinvest.com,Angel Investment
Chi Impact Capital,"Zurich, Zurich, Switzerland",Venture Capital,Chi Impact Capital is a fully independent and dedicated Swiss based impact investment management firm.,chi-impact.com,"Impact Investing, Venture Capital"
Aktieinvest,"Stockholm, Stockholms Lan, Sweden",Fund Of Funds,"Aktieinvest is a provider of investment savings account, children saving account, and other investment schemes.",aktieinvest.se,
swissminds AG,"D√Љdingen, Fribourg, Switzerland",Venture Capital,"Swissminds specializes in high-tech startups not only with capital, but also with hands-on consultation and experience from entrepreneurs.",swissminds.com,"Advice, Business Development, Enterprise, Finance, Management Consulting, Venture Capital"
Transferator,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,"Transferator AB is private equity firm which seeks to acquire minority stakes in promising growth companies, private as well as listed.",transferator.se,
Erik Penser Bankaktiebolag,"Stockholm, Stockholms Lan, Sweden",Investment Bank,"Erik Penser BankaktiebolagвАЩs mission is to create value for our clients. Our services include investment management services, equity",penser.se,
Venture Cup,"Stockholm, Stockholms Lan, Sweden",Startup Competition,Venture Cup is the largest competition for those looking to develop their business idea and start a business.,venturecup.se,Non Profit
Framtidens F√ґretag,"Gothenburg, Vastra Gotaland, Sweden",Incubator,Framtidens F√ґretag(Future Enterprises) is a business incubator.,framtidensforetag.se,
Mannerheim Invest,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,Mannerheim Invest focuses on energy technologies and services plus a non-branch specific portfolio of venture capital investments.,mannerheim.se,
Connecting Capital,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,Connecting Capital is an investment company that conducts operations in the form of a limited liability company.,connectingcapital.se,
Bernegger Ventures,"Zurich, Zurich, Switzerland","Micro VC, Venture Capital","Bernegger Ventures is a venture capital firm specializing in incubation, seed/startup, emerging growth, and growth capital investments.",bernegger-ventures.com,Venture Capital
VIG Startup Studio,"Zurich, Zurich, Switzerland","Angel Group, Venture Capital",VIG is a Pan-African start-up studio that builds innovative ventures.,vigventures.com,
SHIFT Camp,"Stockholm, Stockholms Lan, Sweden",Accelerator,Shift is a unique accelerator which is built around a mentoring program for businesses working towards progressive systemic change.,shifts.se,
hiCenter Ventures,"Haifa, Hefa, Israel",Accelerator,A technology and business accelerator dedicated to value creation by partnering with talented entrepreneurs with proven innovations.,hicenter.co.il,"Business Development, Hedge Funds, Information Technology"
TargeTech,"Netanya, HaMerkaz, Israel",Incubator,TargeTech is an incubator and a venture capital firm.,targetech.co.il,"Business Development, Enterprise Software, Information Technology"
